"query"	"MpTak_v6.1"
"Mp1g04470"	"Mp1g04470"
"Mp1g04480"	"Mp1g04480"
"Mp1g04490"	"Mp1g04490"
"Mp1g04500"	"Mp1g04500"
"Mp1g04510"	"Mp1g04510"
"Mp1g04520"	"Mp1g04520"
"Mp1g04530"	"Mp1g04530"
"Mp1g04540"	"Mp1g04540"
"Mp1g04550"	"Mp1g04550"
"Mp1g04560"	"Mp1g04560"
"Mp1g04570"	"Mp1g04570"
"Mp1g04580"	"Mp1g04580"
"Mp1g04590"	"Mp1g04590"
"Mp1g04600"	"Mp1g04600"
"Mp1g04610"	"Mp1g04610"
"Mp1g04620"	"Mp1g04620"
"Mp1g04630"	"Mp1g04630"
"Mp1g04640"	"Mp1g04640"
"Mp1g04650"	"Mp1g04650"
"Mp1g04660"	"-"
"Mp1g04670"	"Mp1g04670"
"Mp1g04680"	"Mp1g04680"
"Mp1g04690"	"Mp1g04690"
"Mp1g04700"	"-"
"Mp1g04710"	"Mp1g04710"
"Mp1g04720"	"Mp1g04720"
"Mp1g04730"	"Mp1g04730"
"Mp1g04740"	"Mp1g04740"
"Mp1g04750"	"Mp1g04750"
"Mp1g04760"	"Mp1g04760"
"Mp1g04770"	"Mp1g04770"
"Mp1g04780"	"Mp1g04780"
"Mp1g04790"	"Mp1g04790"
"Mp1g04800"	"Mp1g04800"
"Mp1g04810"	"Mp1g04810"
"Mp1g04820"	"Mp1g04820"
"Mp1g04830"	"Mp1g04830"
"Mp1g04840"	"Mp1g04840"
"Mp1g04850"	"Mp1g04850"
"Mp1g04860"	"Mp1g04860"
"Mp1g04870"	"Mp1g04870"
"Mp1g04880"	"Mp1g04880"
"Mp1g04890"	"Mp1g04890"
"Mp1g04900"	"Mp1g04900"
"Mp1g04910"	"Mp1g04910"
"Mp1g04920"	"Mp1g04920"
"Mp1g04930"	"Mp1g04930"
"Mp1g04940"	"Mp1g04940"
"Mp1g04950"	"Mp1g04950"
"Mp1g04960"	"Mp1g04960"
"Mp1g04970"	"-"
"Mp1g04980"	"Mp1g04980"
"Mp1g04990"	"Mp1g04990"
"Mp1g05000"	"Mp1g05000"
"Mp1g05010"	"Mp1g05010"
"Mp1g05020"	"Mp1g05020"
"Mp1g05030"	"Mp1g05030"
"Mp1g05040"	"Mp1g05040"
"Mp1g05050"	"Mp1g05050"
"Mp1g05060"	"Mp1g05060"
"Mp1g05070"	"Mp1g05070"
"Mp1g05080"	"Mp1g05080"
"Mp1g05090"	"Mp1g05090"
"Mp1g05100"	"Mp1g05100"
"Mp1g05110"	"Mp1g05110"
"Mp1g05120"	"Mp1g05120"
"Mp1g05130"	"Mp1g05130"
"Mp1g05140"	"Mp1g05140"
"Mp1g05150"	"Mp1g05150"
"Mp1g05160"	"Mp1g05160"
"Mp1g05170"	"Mp1g05170"
